#PROJECT_NAME= MUDE
#TRANSMISSION_RANGE= 20
#N= 64
#K= 8
#T= 1200
#K_GROUP= 1
#AREA= 300
#V_UAV= 10
#V_SENSOR= 5
#SIMULATION_START_TIME= 0
#SIMULATION_FINISH_TIME= 1200.000000000004
#SIMULATION_SPEED= 1200.000000000004
#SCANNING_TYPE= ScanningType.ZIGZAG_LMAT
id,initial_time,final_time,sensor_speed,sensors_found,sensor_list,sensor_detection,change_route,messages_total,messages_received,messages_sent,messages_consensus,message_request,message_response,message_ping,message_group_sensor_detection,message_sensor_detection_ack,message_sensor_detection_nack,message_route_change,message_route_change_ack,message_route_change_nack,message_route_change_decided
19,0,1200.000000000004,1200.000000000004,7,"[65, 66, 72, 71, 70, 67, 68]",0,0,84315,78658,5657,0,0,75469,8846,0,0,0,0,0,0,0,0
20,0,1200.000000000004,1200.000000000004,7,"[65, 66, 72, 71, 70, 67, 68]",2,1,115932,98438,17493,20,0,94523,21372,0,9,12,9,3,0,3,0
21,0,1200.000000000004,1200.000000000004,7,"[65, 66, 72, 71, 70, 67, 68]",0,0,102182,94482,7700,0,0,89183,12999,0,0,0,0,0,0,0,0
22,0,1200.000000000004,1200.000000000004,7,"[65, 66, 72, 71, 70, 67, 68]",0,0,57818,53520,4298,0,0,51620,6198,0,0,0,0,0,0,0,0
23,0,1200.000000000004,1200.000000000004,7,"[65, 66, 72, 71, 70, 67, 68]",0,0,67234,61294,5940,0,0,57768,9466,0,0,0,0,0,0,0,0
24,0,1200.000000000004,1200.000000000004,7,"[65, 66, 72, 71, 70, 67, 68]",36,0,90728,84786,5942,0,0,81214,9514,0,0,0,0,0,0,0,0
25,0,1200.000000000004,1200.000000000004,7,"[65, 66, 72, 71, 70, 67, 68]",0,0,61284,56474,4810,0,0,54089,7195,0,0,0,0,0,0,0,0
26,0,1200.000000000004,1200.000000000004,7,"[65, 66, 72, 71, 70, 67, 68]",1,1,107381,92523,14857,4,0,89479,17897,0,4,0,0,0,0,0,0
27,0,1200.000000000004,1200.000000000004,7,"[65, 66, 72, 71, 70, 67, 68]",39,0,79525,74219,5306,0,0,71278,8247,0,0,0,0,0,0,0,0
28,0,1200.000000000004,1200.000000000004,7,"[65, 66, 72, 71, 70, 67, 68]",0,0,62093,57116,4977,0,0,54578,7515,0,0,0,0,0,0,0,0
29,0,1200.000000000004,1200.000000000004,7,"[65, 66, 72, 71, 70, 67, 68]",248,1,83798,70368,13429,6,0,67499,16288,0,6,0,3,1,0,0,0
30,0,1200.000000000004,1200.000000000004,7,"[65, 66, 72, 71, 70, 67, 68]",0,0,97023,90332,6691,0,0,86071,10952,0,0,0,0,0,0,0,0
31,0,1200.000000000004,1200.000000000004,7,"[65, 66, 72, 71, 70, 67, 68]",91,0,89400,83945,5455,0,0,80761,8639,0,0,0,0,0,0,0,0
32,0,1200.000000000004,1200.000000000004,7,"[65, 66, 72, 71, 70, 67, 68]",0,0,54095,50232,3863,0,0,48724,5371,0,0,0,0,0,0,0,0
33,0,1200.000000000004,1200.000000000004,7,"[65, 66, 72, 71, 70, 67, 68]",0,0,57080,52840,4240,0,0,50984,6096,0,0,0,0,0,0,0,0
34,0,1200.000000000004,1200.000000000004,7,"[65, 66, 72, 71, 70, 67, 68]",73,0,83733,78751,4982,0,0,76112,7621,0,0,0,0,0,0,0,0
35,0,1200.000000000004,1200.000000000004,7,"[65, 66, 72, 71, 70, 67, 68]",0,0,57029,52844,4185,0,0,51067,5962,0,0,0,0,0,0,0,0
36,0,1200.000000000004,1200.000000000004,7,"[65, 66, 72, 71, 70, 67, 68]",57,0,90749,85305,5444,2,0,82206,8539,0,2,1,0,1,0,0,0
37,0,1200.000000000004,1200.000000000004,7,"[65, 66, 72, 71, 70, 67, 68]",0,0,97626,90921,6705,1,0,86596,11027,0,0,3,0,0,0,0,0
38,0,1200.000000000004,1200.000000000004,7,"[65, 66, 72, 71, 70, 67, 68]",0,0,55725,51742,3983,0,0,50192,5533,0,0,0,0,0,0,0,0
39,0,1200.000000000004,1200.000000000004,7,"[65, 66, 72, 71, 70, 67, 68]",0,0,62618,57762,4856,0,0,55329,7289,0,0,0,0,0,0,0,0
40,0,1200.000000000004,1200.000000000004,7,"[65, 66, 72, 71, 70, 67, 68]",0,0,85348,79820,5528,0,0,76694,8654,0,0,0,0,0,0,0,0
41,0,1200.000000000004,1200.000000000004,7,"[65, 66, 72, 71, 70, 67, 68]",0,0,71400,67002,4398,0,0,65010,6390,0,0,0,0,0,0,0,0
42,0,1200.000000000004,1200.000000000004,7,"[65, 66, 72, 71, 70, 67, 68]",0,0,87322,81758,5564,0,0,78589,8733,0,0,0,0,0,0,0,0
43,0,1200.000000000004,1200.000000000004,7,"[65, 66, 72, 71, 70, 67, 68]",61,0,80629,75745,4884,0,0,73185,7444,0,0,0,0,0,0,0,0
