#PROJECT_NAME= MUDE
#TRANSMISSION_RANGE= 20
#N= 64
#K= 8
#T= 1200
#K_GROUP= 1
#AREA= 200
#V_UAV= 10
#V_SENSOR= 5
#SIMULATION_START_TIME= 0
#SIMULATION_FINISH_TIME= 1200.000000000004
#SIMULATION_SPEED= 1200.000000000004
#SCANNING_TYPE= ScanningType.ZIGZAG_LMAT
id,initial_time,final_time,sensor_speed,sensors_found,sensor_list,sensor_detection,change_route,messages_total,messages_received,messages_sent,messages_consensus,message_request,message_response,message_ping,message_group_sensor_detection,message_sensor_detection_ack,message_sensor_detection_nack,message_route_change,message_route_change_ack,message_route_change_nack,message_route_change_decided
42,0,1200.000000000004,1200.000000000004,6,"[66, 65, 72, 68, 67, 69]",86,0,68139,62644,5495,0,0,59444,8695,0,0,0,0,0,0,0,0
43,0,1200.000000000004,1200.000000000004,6,"[66, 65, 72, 68, 67, 69]",0,0,95228,88649,6579,9,0,84396,10805,0,0,9,0,0,15,3,0
44,0,1200.000000000004,1200.000000000004,6,"[66, 65, 72, 68, 67, 69]",37,0,61118,56571,4547,0,0,54474,6644,0,0,0,0,0,0,0,0
45,0,1200.000000000004,1200.000000000004,6,"[66, 65, 72, 68, 67, 69]",73,0,256208,228988,27220,65,0,215616,40411,0,6,45,2,18,68,42,0
46,0,1200.000000000004,1200.000000000004,6,"[66, 65, 72, 68, 67, 69]",0,0,92658,84370,8288,6,0,78426,14214,0,0,9,0,0,9,0,0
47,0,1200.000000000004,1200.000000000004,6,"[66, 65, 72, 68, 67, 69]",0,0,201873,179473,22400,55,0,164019,37695,0,2,40,0,11,59,47,0
48,0,1200.000000000004,1200.000000000004,6,"[66, 65, 72, 68, 67, 69]",0,0,54443,50460,3983,0,0,48891,5552,0,0,0,0,0,0,0,0
49,0,1200.000000000004,1200.000000000004,6,"[66, 65, 72, 68, 67, 69]",0,0,78134,71164,6970,0,0,66582,11552,0,0,0,0,0,0,0,0
50,0,1200.000000000004,1200.000000000004,6,"[66, 65, 72, 68, 67, 69]",59,0,84828,78585,6243,0,0,74719,10109,0,0,0,0,0,0,0,0
51,0,1200.000000000004,1200.000000000004,6,"[66, 65, 72, 68, 67, 69]",0,0,73589,67496,6093,0,0,63774,9815,0,0,0,0,0,0,0,0
52,0,1200.000000000004,1200.000000000004,6,"[66, 65, 72, 68, 67, 69]",0,0,151826,138784,13042,12,0,128089,23701,0,0,3,0,4,27,2,0
53,0,1200.000000000004,1200.000000000004,6,"[66, 65, 72, 68, 67, 69]",4,0,71505,66214,5291,0,0,63318,8187,0,0,0,0,0,0,0,0
54,0,1200.000000000004,1200.000000000004,6,"[66, 65, 72, 68, 67, 69]",172,0,258142,236516,21626,40,0,221708,36306,0,2,25,14,7,23,57,0
55,0,1200.000000000004,1200.000000000004,6,"[66, 65, 72, 68, 67, 69]",69,0,221923,199656,22267,83,0,184210,37460,0,6,56,15,11,65,100,0
56,0,1200.000000000004,1200.000000000004,6,"[66, 65, 72, 68, 67, 69]",695,1,367591,326104,41486,158,0,309910,57204,0,11,99,33,20,90,223,0
57,0,1200.000000000004,1200.000000000004,6,"[66, 65, 72, 68, 67, 69]",684,0,359111,323416,35695,161,0,303497,55141,0,13,91,32,36,80,221,0
58,0,1200.000000000004,1200.000000000004,6,"[66, 65, 72, 68, 67, 69]",109,0,108308,100327,7981,0,0,94712,13596,0,0,0,0,0,0,0,0
59,0,1200.000000000004,1200.000000000004,6,"[66, 65, 72, 68, 67, 69]",107,0,144913,132337,12576,0,0,122029,22884,0,0,0,0,0,0,0,0
60,0,1200.000000000004,1200.000000000004,6,"[66, 65, 72, 68, 67, 69]",0,0,61255,56512,4743,0,0,54203,7052,0,0,0,0,0,0,0,0
61,0,1200.000000000004,1200.000000000004,6,"[66, 65, 72, 68, 67, 69]",0,0,76834,70636,6198,4,0,66841,9981,0,0,6,0,0,6,0,0
62,0,1200.000000000004,1200.000000000004,6,"[66, 65, 72, 68, 67, 69]",0,0,72795,67072,5723,0,0,63788,9007,0,0,0,0,0,0,0,0
63,0,1200.000000000004,1200.000000000004,6,"[66, 65, 72, 68, 67, 69]",0,0,54201,49998,4203,0,0,48130,6071,0,0,0,0,0,0,0,0
64,0,1200.000000000004,1200.000000000004,6,"[66, 65, 72, 68, 67, 69]",161,0,86752,80911,5841,0,0,77329,9423,0,0,0,0,0,0,0,0
