#PROJECT_NAME= MUDE
#TRANSMISSION_RANGE= 20
#N= 32
#K= 16
#T= 900
#K_GROUP= 1
#AREA= 300
#V_UAV= 10
#V_SENSOR= 5
#SIMULATION_START_TIME= 0
#SIMULATION_FINISH_TIME= 900.0000000001361
#SIMULATION_SPEED= 900.0000000001361
#SCANNING_TYPE= ScanningType.ZIGZAG_LMAT
id,initial_time,final_time,sensor_speed,sensors_found,sensor_list,sensor_detection,change_route,messages_total,messages_received,messages_sent,messages_consensus,message_request,message_response,message_ping,message_group_sensor_detection,message_sensor_detection_ack,message_sensor_detection_nack,message_route_change,message_route_change_ack,message_route_change_nack,message_route_change_decided
20,0,900.0000000001361,900.0000000001361,11,"[33, 35, 46, 36, 40, 43, 42, 45, 38, 44, 37]",0,0,15702,13076,2626,0,0,12270,3432,0,0,0,0,0,0,0,0
21,0,900.0000000001361,900.0000000001361,11,"[33, 35, 46, 36, 40, 43, 42, 45, 38, 44, 37]",64,0,18632,16026,2606,0,0,15159,3473,0,0,0,0,0,0,0,0
22,0,900.0000000001361,900.0000000001361,11,"[33, 35, 46, 36, 40, 43, 42, 45, 38, 44, 37]",0,0,22147,18968,3179,0,0,17608,4539,0,0,0,0,0,0,0,0
23,0,900.0000000001361,900.0000000001361,11,"[33, 35, 46, 36, 40, 43, 42, 45, 38, 44, 37]",0,0,14921,12412,2509,0,0,11651,3270,0,0,0,0,0,0,0,0
24,0,900.0000000001361,900.0000000001361,11,"[33, 35, 46, 36, 40, 43, 42, 45, 38, 44, 37]",0,0,22442,19366,3076,0,0,18067,4375,0,0,0,0,0,0,0,0
25,0,900.0000000001361,900.0000000001361,11,"[33, 35, 46, 36, 40, 43, 42, 45, 38, 44, 37]",0,0,24303,20442,3861,0,0,18412,5891,0,0,0,0,0,0,0,0
26,0,900.0000000001361,900.0000000001361,11,"[33, 35, 46, 36, 40, 43, 42, 45, 38, 44, 37]",59,0,20130,17181,2949,0,0,16025,4105,0,0,0,0,0,0,0,0
27,0,900.0000000001361,900.0000000001361,11,"[33, 35, 46, 36, 40, 43, 42, 45, 38, 44, 37]",3,0,16410,13859,2551,0,0,13067,3343,0,0,0,0,0,0,0,0
28,0,900.0000000001361,900.0000000001361,11,"[33, 35, 46, 36, 40, 43, 42, 45, 38, 44, 37]",14,1,36091,21926,14164,10,0,20668,15410,0,10,1,0,1,0,0,0
29,0,900.0000000001361,900.0000000001361,11,"[33, 35, 46, 36, 40, 43, 42, 45, 38, 44, 37]",0,0,16715,13714,3001,0,0,12533,4182,0,0,0,0,0,0,0,0
30,0,900.0000000001361,900.0000000001361,11,"[33, 35, 46, 36, 40, 43, 42, 45, 38, 44, 37]",0,0,13959,11606,2353,0,0,11063,2896,0,0,0,0,0,0,0,0
31,0,900.0000000001361,900.0000000001361,11,"[33, 35, 46, 36, 40, 43, 42, 45, 38, 44, 37]",0,0,24750,20948,3802,0,0,18932,5818,0,0,0,0,0,0,0,0
32,0,900.0000000001361,900.0000000001361,11,"[33, 35, 46, 36, 40, 43, 42, 45, 38, 44, 37]",0,0,14286,11840,2446,0,0,11185,3101,0,0,0,0,0,0,0,0
