#PROJECT_NAME= MUDE
#TRANSMISSION_RANGE= 20
#N= 64
#K= 16
#T= 900
#K_GROUP= 5
#AREA= 400
#V_UAV= 10
#V_SENSOR= 5
#SIMULATION_START_TIME= 0
#SIMULATION_FINISH_TIME= 900.0000000001361
#SIMULATION_SPEED= 900.0000000001361
#SCANNING_TYPE= ScanningType.ZIGZAG_LMAT
id,initial_time,final_time,sensor_speed,sensors_found,sensor_list,sensor_detection,change_route,messages_total,messages_received,messages_sent,messages_consensus,message_request,message_response,message_ping,message_group_sensor_detection,message_sensor_detection_ack,message_sensor_detection_nack,message_route_change,message_route_change_ack,message_route_change_nack,message_route_change_decided
16,0,900.0000000001361,900.0000000001361,12,"[72, 75, 65, 76, 69, 78, 77, 70, 68, 66, 74, 71]",0,0,52318,49696,2622,0,0,48861,3457,0,0,0,0,0,0,0,0
17,0,900.0000000001361,900.0000000001361,12,"[72, 75, 65, 76, 69, 78, 77, 70, 68, 66, 74, 71]",0,0,47102,44476,2626,0,0,43604,3498,0,0,0,0,0,0,0,0
18,0,900.0000000001361,900.0000000001361,12,"[72, 75, 65, 76, 69, 78, 77, 70, 68, 66, 74, 71]",0,0,50092,47104,2988,0,0,45935,4157,0,0,0,0,0,0,0,0
19,0,900.0000000001361,900.0000000001361,12,"[72, 75, 65, 76, 69, 78, 77, 70, 68, 66, 74, 71]",113,1,75833,65391,10441,4,0,63388,12440,0,4,0,0,0,0,0,0
20,0,900.0000000001361,900.0000000001361,12,"[72, 75, 65, 76, 69, 78, 77, 70, 68, 66, 74, 71]",0,0,77471,74062,3409,0,0,72420,5051,0,0,0,0,0,0,0,0
21,0,900.0000000001361,900.0000000001361,12,"[72, 75, 65, 76, 69, 78, 77, 70, 68, 66, 74, 71]",0,0,63392,60114,3278,0,0,58673,4719,0,0,0,0,0,0,0,0
22,0,900.0000000001361,900.0000000001361,12,"[72, 75, 65, 76, 69, 78, 77, 70, 68, 66, 74, 71]",0,0,47461,44768,2693,0,0,43854,3607,0,0,0,0,0,0,0,0
23,0,900.0000000001361,900.0000000001361,12,"[72, 75, 65, 76, 69, 78, 77, 70, 68, 66, 74, 71]",0,0,78210,74444,3766,0,0,72441,5769,0,0,0,0,0,0,0,0
24,0,900.0000000001361,900.0000000001361,12,"[72, 75, 65, 76, 69, 78, 77, 70, 68, 66, 74, 71]",79,1,86167,77375,8791,4,0,74454,11708,0,4,0,0,0,0,0,0
25,0,900.0000000001361,900.0000000001361,12,"[72, 75, 65, 76, 69, 78, 77, 70, 68, 66, 74, 71]",0,0,49327,46522,2805,0,0,45503,3824,0,0,0,0,0,0,0,0
