#PROJECT_NAME= MUDE
#TRANSMISSION_RANGE= 20
#N= 32
#K= 8
#T= 900
#K_GROUP= 1
#AREA= 300
#V_UAV= 10
#V_SENSOR= 5
#SIMULATION_START_TIME= 0
#SIMULATION_FINISH_TIME= 900.0000000001361
#SIMULATION_SPEED= 900.0000000001361
#SCANNING_TYPE= ScanningType.ZIGZAG_LMAT
id,initial_time,final_time,sensor_speed,sensors_found,sensor_list,sensor_detection,change_route,messages_total,messages_received,messages_sent,messages_consensus,message_request,message_response,message_ping,message_group_sensor_detection,message_sensor_detection_ack,message_sensor_detection_nack,message_route_change,message_route_change_ack,message_route_change_nack,message_route_change_decided
14,0,900.0000000001361,900.0000000001361,5,"[33, 38, 35, 34, 40]",0,0,19007,15640,3367,0,0,14049,4958,0,0,0,0,0,0,0,0
15,0,900.0000000001361,900.0000000001361,5,"[33, 38, 35, 34, 40]",0,0,16765,13844,2921,0,0,12759,4006,0,0,0,0,0,0,0,0
16,0,900.0000000001361,900.0000000001361,5,"[33, 38, 35, 34, 40]",46,0,34992,26556,8436,18,0,23368,11580,0,8,10,2,12,11,1,0
17,0,900.0000000001361,900.0000000001361,5,"[33, 38, 35, 34, 40]",0,0,21302,18332,2970,0,0,17160,4142,0,0,0,0,0,0,0,0
18,0,900.0000000001361,900.0000000001361,5,"[33, 38, 35, 34, 40]",89,0,18008,15379,2629,0,0,14474,3534,0,0,0,0,0,0,0,0
19,0,900.0000000001361,900.0000000001361,5,"[33, 38, 35, 34, 40]",212,1,50517,26466,24050,59,0,24586,25775,0,6,69,9,5,63,3,0
20,0,900.0000000001361,900.0000000001361,5,"[33, 38, 35, 34, 40]",42,0,21153,18304,2849,0,0,17247,3906,0,0,0,0,0,0,0,0
21,0,900.0000000001361,900.0000000001361,5,"[33, 38, 35, 34, 40]",2,0,19234,15560,3674,0,0,13681,5553,0,0,0,0,0,0,0,0
22,0,900.0000000001361,900.0000000001361,5,"[33, 38, 35, 34, 40]",0,0,23937,20329,3608,1,0,18528,5406,0,0,3,0,0,0,0,0
23,0,900.0000000001361,900.0000000001361,5,"[33, 38, 35, 34, 40]",2,2,44258,24886,19370,26,0,22523,21695,0,16,15,0,4,3,0,0
24,0,900.0000000001361,900.0000000001361,5,"[33, 38, 35, 34, 40]",41,1,26720,18271,8448,7,0,16738,9972,0,7,1,0,1,0,0,0
25,0,900.0000000001361,900.0000000001361,5,"[33, 38, 35, 34, 40]",0,0,19448,16790,2658,0,0,15955,3493,0,0,0,0,0,0,0,0
26,0,900.0000000001361,900.0000000001361,5,"[33, 38, 35, 34, 40]",0,0,16457,13900,2557,0,0,13133,3324,0,0,0,0,0,0,0,0
27,0,900.0000000001361,900.0000000001361,5,"[33, 38, 35, 34, 40]",0,0,16179,13450,2729,0,0,12554,3625,0,0,0,0,0,0,0,0
28,0,900.0000000001361,900.0000000001361,5,"[33, 38, 35, 34, 40]",0,0,14379,11948,2431,0,0,11291,3088,0,0,0,0,0,0,0,0
29,0,900.0000000001361,900.0000000001361,5,"[33, 38, 35, 34, 40]",0,0,20395,17688,2707,0,0,16791,3604,0,0,0,0,0,0,0,0
